State,Year,Quarter,Payment_Type,Transaction_Count,Amount
India,2018,1,Recharge & bill payments,72550406,14472713558.652578
India,2018,1,Peer-to-peer payments,46982705,147245883542.77402
India,2018,1,Merchant payments,5368669,4656678915.140091
India,2018,1,Financial Services,3762820,815853105.1000277
India,2018,1,Others,5761576,4643217301.269438
India,2018,2,Recharge & bill payments,92033715,24351225616.36898
India,2018,2,Peer-to-peer payments,74558816,264767671095.31842
India,2018,2,Merchant payments,10613941,9052859939.339659
India,2018,2,Financial Services,5186569,1176991419.239996
India,2018,2,Others,4973199,5027454207.140578
India,2018,3,Peer-to-peer payments,202021587,425967421714.0399
India,2018,3,Recharge & bill payments,102290514,31364311860.394596
India,2018,3,Merchant payments,25175938,12433150984.830223
India,2018,3,Financial Services,6218596,891447809.4200314
India,2018,3,Others,5594554,4449556277.54975
India,2018,4,Peer-to-peer payments,200235002,594995709377.7327
India,2018,4,Recharge & bill payments,131917248,39578607327.024284
India,2018,4,Merchant payments,71498510,30497289208.339787
India,2018,4,Financial Services,5216165,868584631.5900131
India,2018,4,Others,8246415,5802659774.449921
India,2019,1,Peer-to-peer payments,404841331,887893108631.5128
India,2019,1,Recharge & bill payments,180504739,55473071028.87885
India,2019,1,Merchant payments,110496541,40575915112.522
India,2019,1,Financial Services,4627353,603852042.0000324
India,2019,1,Others,8526177,5484252454.8204155
India,2019,2,Peer-to-peer payments,384711008,1196425281586.9927
India,2019,2,Recharge & bill payments,209898072,76865848586.98372
India,2019,2,Merchant payments,206467182,73415840739.88434
India,2019,2,Financial Services,2650384,545329308.0899862
India,2019,2,Others,11656557,6969423863.830339
India,2019,3,Peer-to-peer payments,461911865,1440512511470.7004
India,2019,3,Merchant payments,376320628,123209398484.44376
India,2019,3,Recharge & bill payments,240103872,101520929811.06812
India,2019,3,Financial Services,2870292,617120839.9299941
India,2019,3,Others,13804992,6705143103.510092
India,2019,4,Peer-to-peer payments,703497002,1963952535223.0903
India,2019,4,Merchant payments,456578271,174239646473.03162
India,2019,4,Recharge & bill payments,285310032,116344996244.26738
India,2019,4,Financial Services,2476840,551204225.4200497
India,2019,4,Others,12583379,4811822509.649999
India,2020,1,Peer-to-peer payments,693998661,2320557268853.593
India,2020,1,Merchant payments,566355270,231298042209.83606
India,2020,1,Recharge & bill payments,351300991,140373550367.1558
India,2020,1,Financial Services,1358171,773848137.0300016
India,2020,1,Others,10027019,4116905195.8207293
India,2020,2,Peer-to-peer payments,631031364,2243915932390.771
India,2020,2,Recharge & bill payments,448842692,171590686463.15784
India,2020,2,Merchant payments,363275861,226908226049.51398
India,2020,2,Financial Services,1682062,1751767444.1000087
India,2020,2,Others,3779461,1987466180.2098684
India,2020,3,Peer-to-peer payments,916790263,3287051873253.504
India,2020,3,Merchant payments,672019839,405291207894.2984
India,2020,3,Recharge & bill payments,436172619,204262355709.72183
India,2020,3,Financial Services,2531978,2673063432.9600067
India,2020,3,Others,5541374,2789907563.6502213
India,2020,4,Peer-to-peer payments,1249512647,4474548495095.518
India,2020,4,Merchant payments,1127490136,684873639322.252
India,2020,4,Recharge & bill payments,479784084,227875840842.1121
India,2020,4,Financial Services,2942567,3259168195.749941
India,2020,4,Others,9556404,5323095366.309718
India,2021,1,Merchant payments,1467948823,844466633896.8679
India,2021,1,Peer-to-peer payments,1447600942,5170856441552.582
India,2021,1,Recharge & bill payments,530118545,260182440730.4327
India,2021,1,Financial Services,3075296,3573884778.5300817
India,2021,1,Others,8851525,5199901891.8900385
India,2021,2,Peer-to-peer payments,1744272888,6163165772736.494
India,2021,2,Merchant payments,1499626469,1003530942287.5988
India,2021,2,Recharge & bill payments,685024821,300559461295.9022
India,2021,2,Financial Services,3397384,3651996523.4499955
India,2021,2,Others,9061732,5598131364.820071
India,2021,3,Merchant payments,2316924871,1426965558783.5557
India,2021,3,Peer-to-peer payments,2215575286,7429357587018.912
India,2021,3,Recharge & bill payments,714583744,349234592690.4992
India,2021,3,Financial Services,3112160,4043342762.3300233
India,2021,3,Others,13558464,7146868847.2897215
