State	Year	Quarter	Payment_Type	Transaction_Count	Amount
State	2018	1	Recharge & bill payments	72550406	14472713559
State	2018	1	Peer-to-peer payments	46982705	1.47246E+11
State	2018	1	Merchant payments	5368669	4656678915
State	2018	1	Financial Services	3762820	815853105.1
State	2018	1	Others	5761576	4643217301
State	2018	2	Recharge & bill payments	92033715	24351225616
State	2018	2	Peer-to-peer payments	74558816	2.64768E+11
State	2018	2	Merchant payments	10613941	9052859939
State	2018	2	Financial Services	5186569	1176991419
State	2018	2	Others	4973199	5027454207
State	2018	3	Peer-to-peer payments	202021587	4.25967E+11
State	2018	3	Recharge & bill payments	102290514	31364311860
State	2018	3	Merchant payments	25175938	12433150985
State	2018	3	Financial Services	6218596	891447809.4
State	2018	3	Others	5594554	4449556278
State	2018	4	Peer-to-peer payments	200235002	5.94996E+11
State	2018	4	Recharge & bill payments	131917248	39578607327
State	2018	4	Merchant payments	71498510	30497289208
State	2018	4	Financial Services	5216165	868584631.6
State	2018	4	Others	8246415	5802659774
State	2019	1	Peer-to-peer payments	404841331	8.87893E+11
State	2019	1	Recharge & bill payments	180504739	55473071029
State	2019	1	Merchant payments	110496541	40575915113
State	2019	1	Financial Services	4627353	603852042
State	2019	1	Others	8526177	5484252455
State	2019	2	Peer-to-peer payments	384711008	1.19643E+12
State	2019	2	Recharge & bill payments	209898072	76865848587
State	2019	2	Merchant payments	206467182	73415840740
State	2019	2	Financial Services	2650384	545329308.1
State	2019	2	Others	11656557	6969423864
State	2019	3	Peer-to-peer payments	461911865	1.44051E+12
State	2019	3	Merchant payments	376320628	1.23209E+11
State	2019	3	Recharge & bill payments	240103872	1.01521E+11
State	2019	3	Financial Services	2870292	617120839.9
State	2019	3	Others	13804992	6705143104
State	2019	4	Peer-to-peer payments	703497002	1.96395E+12
State	2019	4	Merchant payments	456578271	1.7424E+11
State	2019	4	Recharge & bill payments	285310032	1.16345E+11
State	2019	4	Financial Services	2476840	551204225.4
State	2019	4	Others	12583379	4811822510
State	2020	1	Peer-to-peer payments	693998661	2.32056E+12
State	2020	1	Merchant payments	566355270	2.31298E+11
State	2020	1	Recharge & bill payments	351300991	1.40374E+11
State	2020	1	Financial Services	1358171	773848137
State	2020	1	Others	10027019	4116905196
State	2020	2	Peer-to-peer payments	631031364	2.24392E+12
State	2020	2	Recharge & bill payments	448842692	1.71591E+11
State	2020	2	Merchant payments	363275861	2.26908E+11
State	2020	2	Financial Services	1682062	1751767444
